TipoDocumentoVendedor;NúmeroDocumentoVendedor
CC;123123123
IDProducto1;8
IDProducto2;5
IDProducto3;2
CC;123123123
IDProducto1;9
IDProducto2;9
IDProducto3;10
CC;123123123
IDProducto1;6
IDProducto2;8
IDProducto3;10
CC;123123123
IDProducto1;9
IDProducto2;8
IDProducto3;1
CC;123123123
IDProducto1;7
IDProducto2;1
IDProducto3;9
CC;123123123
IDProducto1;4
IDProducto2;7
IDProducto3;6
CC;123123123
IDProducto1;6
IDProducto2;7
IDProducto3;7
CC;123123123
IDProducto1;6
IDProducto2;5
IDProducto3;8
CC;123123123
IDProducto1;3
IDProducto2;10
IDProducto3;2
CC;123123123
IDProducto1;6
IDProducto2;9
IDProducto3;4
