TipoDocumentoVendedor;NúmeroDocumentoVendedor
CC;123456789
IDProducto1;6
IDProducto2;5
IDProducto3;7
CC;123456789
IDProducto1;5
IDProducto2;6
IDProducto3;1
CC;123456789
IDProducto1;8
IDProducto2;7
IDProducto3;4
CC;123456789
IDProducto1;7
IDProducto2;5
IDProducto3;5
CC;123456789
IDProducto1;10
IDProducto2;1
IDProducto3;1
CC;123456789
IDProducto1;7
IDProducto2;2
IDProducto3;10
CC;123456789
IDProducto1;2
IDProducto2;5
IDProducto3;8
CC;123456789
IDProducto1;2
IDProducto2;6
IDProducto3;10
CC;123456789
IDProducto1;4
IDProducto2;4
IDProducto3;7
CC;123456789
IDProducto1;4
IDProducto2;5
IDProducto3;9
